parent_gallery_name,parent_gallery_item_id,photo_set_name,photo_set_slug,photo_count,photo_names,photo_item_ids,source_values,grouping_source,grouping_confidence,is_singleton,warnings
Holy Men and Women of God,6a679b41cb07e5125504e546,Saint Jude Thaddeus,saint-jude-thaddeus,1,SAINT JUDE THADDEUS,6a679c593be05a134f6393ba,god-saint-jude-thaddeus,CMS Name,high,true,singleton set | truncated source filename
Holy Men and Women of God,6a679b41cb07e5125504e546,Saint Lucas,saint-lucas,1,SAINT LUCAS,6a679b9c0c02f7b16f38911a,women-of-god-saint-lucas,CMS Name,high,true,singleton set | truncated source filename
Holy Men and Women of God,6a679b41cb07e5125504e546,Saint Mary Magdalene,saint-mary-magdalene,1,SAINT MARY MAGDALENE,6a679b990dc0a2b1638ac049,god-saint-mary-magdalene,CMS Name,high,true,singleton set | truncated source filename
Holy Men and Women of God,6a679b41cb07e5125504e546,Saint Monica,saint-monica,1,SAINT MONICA,6a679c9de4223da842e99c05,omen-of-god-saint-monica,CMS Name,high,true,singleton set | truncated source filename
Holy Men and Women of God,6a679b41cb07e5125504e546,Saint Nicholas of Tolentino,saint-nicholas-of-tolentino,1,SAINT NICHOLAS OF TOLENTINO,6a679b86ada99a788db16aea,nt-nicholas-of-tolentino,CMS Name,high,true,singleton set | truncated source filename
Holy Men and Women of God,6a679b41cb07e5125504e546,Saint Paul,saint-paul,1,SAINT PAUL,6a679ba73be05a134f633938,women-of-god-saint-paul,CMS Name,high,true,singleton set | truncated source filename
Holy Men and Women of God,6a679b41cb07e5125504e546,Saint Peter,saint-peter,3,SAINT PETER,6a679baa958e708dc185de94 | 6a679c856bb5de7ea7182a6f | 6a679cc5b33f1426ff28cc2b,men-of-god-saint-peter-2 | men-of-god-saint-peter-3 | women-of-god-saint-peter,CMS Name,high,false,truncated source filename | potential near-duplicate set name within the same Gallery
Holy Men and Women of God,6a679b41cb07e5125504e546,Saint Peter in His Throne,saint-peter-in-his-throne,1,SAINT PETER IN HIS THRONE,6a679b9f88153d547cf6c6a8,aint-peter-in-his-throne,CMS Name,high,true,singleton set | truncated source filename | potential near-duplicate set name within the same Gallery
Holy Men and Women of God,6a679b41cb07e5125504e546,Saint Peter Relief,saint-peter-relief,1,SAINT PETER RELIEF,6a679c81ebb5c526c04c9a77,f-god-saint-peter-relief,CMS Name,high,true,singleton set | truncated source filename | potential near-duplicate set name within the same Gallery
Holy Men and Women of God,6a679b41cb07e5125504e546,Saint Raymond Nonmatur,saint-raymond-nonmatur,1,SAINT RAYMOND NONMATUR,6a679b83eeade61073c1f516,d-saint-raymond-nonmatur,CMS Name,high,true,singleton set | truncated source filename
