title,slug,author,publish_date,status,url,excerpt,introduction,discussion_content,special_feature_title,special_feature_author,special_feature_content,categories,tags,parse_method,parse_warning
In Love with Mary,in-love-with-mary,user,"Tue, 06 Dec 2022 03:30:28 +0000",publish,https://thekabilincenter.org/in-love-with-mary/,"This gallery has one of the largest collections, attesting to how strongly Marian Filipino Catholicism is. Many titles of the Blessed Virgin Mary are celebrated in the Philippines; some popular Marian devotions include Our Lady of Consolation (for which most parishes seemed to own), Our Lady of the Immaculate Conception, Our Lady of the Miraculous…","This gallery has one of the largest collections, attesting to how strongly Marian Filipino Catholicism is. Many titles of the Blessed Virgin Mary are celebrated in the Philippines; some popular Marian devotions include Our Lady of Consolation (for which most parishes seemed to own), Our Lady of the Immaculate Conception, Our Lady of the Miraculous Medal, Our Lady of Mount Carmel, and Our Lady of the Holy Rosary.

An ivory statue of Our Lady of the Miraculous Medal, fondly called "" chinita princess"" by the Danao church community, has survived the years and is now under the protection of the youth of the parish. John Mecca of Danao whose uncle is a maker/carver of statues talks about the ""chinita princess"" and the devotion to the Lady of the Miraculous Medal: “Grabe gyod and devotion sa Miraculous Medal among Children of Mary sa una, mga 500 members gyod. Siya pa ang nag-una kay mao man iyang sudlanan medal gyod. Ara ra na siya gi-sud hangtod karon mao nang makuyawan mi kay public ra kaayo si Chinita namo. Ivory gyod siya, mao to nga naghinayhinay og pakpak iyang pintal, makit-an na nga ivory gyod. Mao nang gi- protect namo. Kami ra man mga batan-on gyod ang naglihok sa pag- preserve ; kami nay gi-ingnan sa pari nga ikaw nay bahala dira. Kami na lang gyoy naninguha.” (Before, the devotion to the Miraculous Medal among the Children of Mary was really popular, about 500 members. This image is first because its container is shaped like a medal. She has always been inside that container, so we are scared because our chinita is in a very public area. It is really ivory. The paint is slowly coming off; you can see that it is really ivory. That's why we are protecting it. Only the young people are working to preserve these objects. The (parish) priest told us that we should take care of it. We are trying our best.)

Some similar images, like the image of the Birhen sa Kalipay of the Talisay Parish, are not so lucky. Edward Alesna, Barangay Captain of Barangay Poblacion, Talisay, talks about the image of Birhen sa Kalipay as one of the oldest in the Talisay Church. He narrates how their parish Marian devotion lives on despite the desecration of the image. “Mga 1974 to 1976 man tingali to nga nahitabo nga fiesta. Gikawat na ang ulo ni Mahal nga Birhen sa Kalipay. Wala nay ulo, hasta ang ulo sa bata kana iyang gikugos wala na, hasta ang mga kamot kay ivory man to. Unya nawala na siya panahon pa sa among padre kura, si Padre Veronico Salvador. Unya mao to usa sa pamilya dinhi sa Talisay, mga adunahan sad nga pamilya, mga Figueroa, nga ang ngan ana niya si Nang Bebeng, pagkadalaga ang apellido Baculpo, naminyo og mga Figueroa. Maoy nigasto para mapulihan ang ulo sa nawala nga Birhen sa Kalipay, nga na-restore pagbalik. Gipulihan na siya og, gikan sa ivory, karon kahoy na siya. Mahal na man kay ang ivory, unya humok kawaton. Mao na nga siya nga kahoy na ang imahen. Pero salamat na lang kay na balik man.” (It happened during a fiesta, around 1974 to 1976. The head of the Blessed Virgin was stolen. There is no head, even the head of the child she is holding was gone, even the hands. They were made of ivory. The theft happened during the time of our priest, Father Veronico Salvador. Then it was someone from a family here in Talisay, a rich family, the Figueroas, whose name was Nang Bebeng, whose maiden name was Baculpo and married to the Figueroas, it was her who spent money to replace the head of the image, which was restored. From ivory, it was replaced now with wood. Ivory is expensive, besides it is prone to thefts. That's why it is now a wooden image. I am grateful that it is restored.)

The collection also covers patronal images as well as folk representations of the Blessed Virgin Mary. Many images and artifacts are used in church and community activities like the fiesta procession, block rosary, Flores de Mayo, etc.",,"Patrocinio de Maria Santisima, Boljoon, Cebu",Haidee Emmie K. Palapar,"Both Patrocinio de Maria Santisima images depicts the Madonna and Child; the Blessed Virgin Mary carrying the Child Jesus in her arms. But there are two Patrocinio de Maria Santisima images in Boljoon, Cebu—one they call the “Chinita”, the other, “Mestiza”. Both beautiful. But one looks for the unique or the unusual, for beauty further augments the obvious. The chinita image, because of its chinky eyes, seemed to be winning by a margin; it is unusual that an ivory image of the Blessed Virgin, usually portrayed as mestiza, would be “monolid”. Besides, the chinita image is the older image of the two, documented as 400 years old; and thus, the original.

The Patrocinio de Maria Santisima - chinita image is 69 cm from head to bastador , without its detachable aureola and crown. Its head and hands are made of ivory, but the body is made of wood. So with the child in its arms; head and hands in ivory, while the body is in wood. Both are in de tallado style, with features well-detailed. The aureola (of the virgin) and the crowns are made of silver.

The title, Patrocinio de Maria, meaning the “Patronage of Mary”, in the Philippines is a Marian avocation invoked only in Boljoon, Cebu. But its feast has been celebrated in the olden times, first decreed on May 6, 1679, in Spain in commemoration of the victories obtained over the Saracens, heretics and other enemies during the reign of Philip IV in the 6th century. The feast was kept by Pope Benedict XII in the Papal States on the 3rd Sunday of November. The devotion to the Patrocinio de Maria was brought by the Augustinians to the Philippines in 1599. Today, the second Saturday of November has been allotted as the feast of Boljoon’s beloved patroness.

Augustinian Friar Bartolome de Gracia, who also brought the chinita image, from Spain, would first establish a chapel in Nabulho, from which the name “Boljoon” would be derived from. The chapel would later be elevated to a parish on October 31, 1690. Owing to a shortage of priests, the Augustinians would leave Boljoon in 1737 and transfer administration of the parish to the Jesuits. But the Augustinians would regain Boljoon in 1747 after an agreement with the Jesuits.

The church was declared as a National Historical Landmark by the National Historical Institute in 1999, and listed as a National Cultural Treasure by the National Museum of the Philippines in 2001. In November 14, 2020, the Patrocinio de Maria Santisima image was granted an episcopal coronation. On the occasion of the 500 years of Christianity in the Philippines celebration, the image was further granted a pontifical coronation on April 23, 2021.

The Patrocinio de Maria Santisima image is said to be miraculous and, thus, well-loved by the people in the south of Cebu. Early on, the Boljoanons experienced her protection during a many Moro raids invading the town. “El Capitan” Fray Julian Bermejo, OSA, said to be a warrior-priest, who built the series of fortifications in the south, sought her refuge and protection when fighting back against the Moro pirates. She was said to have saved the village in 1615 when the said invaders burned the people’s homes and church. A mysterious lightning struck the invaders and forced them to flee. This account has become a legend as one of the virgin’s greatest miracles. Sickness and diseases were also healed upon her intercession.",TOD Galleries,,discussion=first-discussion-heading; special=explicit-special-heading,No distinct discussion content was detected.
The Holy Family,the-holy-family,user,"Tue, 06 Dec 2022 05:44:10 +0000",publish,https://thekabilincenter.org/the-holy-family/,"The most common image of the Holy Family is the one with Jesus at the crèche and flanked by Saint Joseph and the Blessed Virgin Mary. Other than the Nativity scene, the scenes from the life of the Holy Family have also become subjects of sacred art - Saint Joseph and the Blessed Virgin Mary traveling to Bethlehem for the census, the Flight to…","The most common image of the Holy Family is the one with Jesus at the crèche and flanked by Saint Joseph and the Blessed Virgin Mary. Other than the Nativity scene, the scenes from the life of the Holy Family have also become subjects of sacred art - Saint Joseph and the Blessed Virgin Mary traveling to Bethlehem for the census, the Flight to Egypt, scenes from Jesus' childhood.","This has also feature folk representations of the Holy Family. How did local artists interpret these biblical scenes?

Under this theme, a special gallery is devoted to St. Joseph. Like the Blessed Mother, Saint Joseph is associated with many titles and attributes: He is popularly called the Head of the Holy Family, St. Joseph the Worker, Foster-father of the Son of God and Diligent protector of Christ, as most of the figures in the gallery represent. Because of his role in salvation history, he is also called the Silent Protector of the Holy Church.

Interestingly, two figures show two uncommon attributes of St Joseph. (1)A statue from the parish of Argao presents St. Joseph with his hand on his chest, a pose commonly attributed to modesty and chastity. It is a reference to St. Joseph Most Chaste. (2) A tableau from Danao Parish portrays St Joseph at his deathbed, flanked by the Blessed Virgin and the adult Jesus. The scene is a reference to St Joseph as the patron for a happy death. These images propagate two beautiful devotions, which may just be what our times need.

Two free-standing figures make up this ivory Sagrada Familia set from the Archdiocesan Shrine and Parish of Saint Michael the Archangel in the town of Argao, Cebu. The statue of the Blessed Mother is, of course, portrayed carrying the Child Jesus. Both the Santa Maria and San Jose statues are a little over half a meter tall and are also of the kind called de bastidor . The best thing about the sculptures is that they are in good condition.

Immediately the Caucasian features of the statues caught my attention. Their heads and detachable hands are made of ivory; their eyes are made of glass. I feel that the ivory material is the greatest contributor to this effect. The vestments and accessories made for these religious images also contribute to the same.

Although the provenance of these statues is not particularly detailed or documented by the parish, they seem to belong to one of the three types of Spanish colonial religious images described by Fernando Zobel in his essay Philippine colonial sculpture: a short survey . According to Zobel, Spanish colonial religious images fall into three categories: ‘popular’, ‘classical’ and ‘ornate’. Of interest would be the ‘ornate’ style, the description of which matched the features found in the Sagrada Familia sculptures.

According to Zobel, ‘ornate’ religious images are of two types: ornate ivory and ornate wooden sculptures. Whether made of ivory or wood, this type of sculpture has a “richness of detail” that is influenced by the Spanish Baroque and ‘romantic realism’. Zobel also pointed out that, particularly, the ornate ivory religious statues were most common between the middle of the eighteenth century and the middle of the nineteenth century.

Zobel further described ornate ivory religious statues to have either two styles for the wooden framework that served as the sculpture’s body. Either the framework would be de tallado , that is, fully carved, or de bastidor , or the kind with conical framing made of sticks. Whether de tallado or de bastidor , ivory heads and hands would be fitted into the sculpture framework. Sometimes ivory feet would be added.

Embellishments and miniature attributes found on the Argao Sagrada Familia are also some of those found on ornate sculptures as described by Zobel. Such embellishments and attributes give the religious sculptures a more realistic look and are part of the creation of a “richness in detail”. Specifically for the Sagrada Familia figures, the embellishments include the hair or wigs and glass eyes. Although the vestments used are new, they are elaborated and accessorized with embroidery as can be expected from the style. The miniature attributes include the hats on both figures, Saint Joseph’s staff, and the miniature crown and globe held by the Child Jesus.

The Feast of the Holy Family is celebrated within the Christmas season, on the Sunday immediately following December 25. It is especially memorable to me as it is the fiesta of the residential village where I live. That day is celebrated with a lively procession led by a drum and bugle band and a Holy Mass in our village chapel. The community elders at that time probably chose the Holy Family as patron in order to give the families in our community a model. Truly, to honor the Holy Family is a devotion that benefits all the faithful who contemplate on and continue to be inspired by the lives of Jesus, Mary and Joseph.

Keeping communities that are devoted to the Holy Family animated and preserving images of the Holy Family like the Argao Sagrada Familia help keep alive this tradition and devotion.",,,,TOD Galleries,,discussion=second-block-fallback; special=none,No separator or final feature boundary was detected.
Images of Christ,images-of-christ,user,"Tue, 06 Dec 2022 23:26:27 +0000",publish,https://thekabilincenter.org/images-of-christ/,"The devotion to the Sto Niño has become synonymous with Cebu. Thus, the first gallery under this theme features many reiterations of the image of the Holy Child Jesus. Noteworthy are the figures under the St. Theresa’s College collection and the interesting image of the Sto Niño del Teniente of San Nicolas Parish. Not to be forgotten is the one…","The devotion to the Sto Niño has become synonymous with Cebu. Thus, the first gallery under this theme features many reiterations of the image of the Holy Child Jesus. Noteworthy are the figures under the St. Theresa’s College collection and the interesting image of the Sto Niño del Teniente of San Nicolas Parish. Not to be forgotten is the one from Danao Parish which is an image of the Sto Niño that is holding a saw. This last figure is not easily accessible to the public, however, and so featuring the image here underscores the purpose of this virtual exhibition. John Mecca, devotee from Danao, describes this Sto Nino: ""Mao nay gikasuyaan sa tanan nga dili na ipagawas kay pakopyahan man unta na. Siya na lang gyoy ingon ana og nawng sa tibuok. Mura siyag bata nga tinuod. Mao tong di na gyod na ipagawas, gitago na gyod na sa vault, naa man mi vault sa simbahan nga metal gyod nga purtahan gyod nga dagko."" (Many are envious of this image. We do not show it to the public because it's going to be copied. This is the only statue that looks like that. He looks like a real child. That's why it won't be released anymore; it's kept hidden in the vault. Our church has a vault with big metal doors.""

Various other depictions of the life of Jesus Christ are given attention in this gallery, with a numerous of the collection of the crucified Christ. Images used during Holy Week are housed in here; these images include several Santo Entierro and the Jesus de Pasensya.

Mildred Kitayan Mamites, Assistant Secretary of the Parish Pastoral Council and Representative of the Municipal Arts, Culture and Heritage of Argao, describes an aspect of her hometown’s Holy Week rites: ""Kana siya nga crucifixion , sa una ipagawas na siya, ibutang og karo unya ikuyog sa Good Friday nga procession hasta ang Dolorosa. Kuan kaayo ang procession namo sa Pasos nga Wednesday ug Good Friday kay ang mga tawo nga nagtrabaho sa siyudad nga taga-Argao mo-uli gyod na sila kay mo- attend sa procession , sukad pa gyod sa una before sa pandemic , pero pag pandemic wa na man.” (Before, that image of the crucifixion would be taken out on Good Fridays, placed on a caro and then brought around in a procession, also including the (Mater) Dolorosa. We have a great procession for our Pasos on (Holy) Wednesday and Good Friday because the people who work in the city come home to Argao to attend the procession. That was before the pandemic, but during the pandemic we did not do this.)

An interview with Clifford Lumayag Barluado, Assistant to the Parish Youth Coordinating Council in the San Guillermo de Aquitania Parish in Dalaguete, reveals the Holy Week practices of the youth in Dalaguete.

“Ang treasure nga lain diri sa Dalaguete ang Santo Entierro nga mogawas ra pod na siyag Holy Week sa Good Friday ra pod na. After ana i-uli ra pod na dayon sa balay, hiposon ra dayon. Mogawas ra na siya og 12 sa udto, mobalik ra pod sa ilaha igka- after sa veneration sa Santo Entierro igka gabii. Kanang Good Friday kanang ang mga youth gyod ana ang mo- cordon sa Santo Entierro nga kanang imahin ig- procession until the end of the day nga i-uli na didto sa balay sa tag-iya o sa nag-amoma sa maong santos. Kanang Passion inig ka- Good Friday ug morning from diri sa simbahan hangtod mosaka mi og bukid mga youth na siya ang nag-act...live nga Station of the Cross . Kanang mga uban nga gi-treasure diri sa Dalaguete kanang mga Holy Week nga images , nga naa sa balay-balay sa mga family , ang mga family ang nag-amuma ana niya sama sa Pasensya, katong Ginoo nga gikoronahan ba siya. Hangtod karon gi- keep gihapon, kompleto gihapon siya hangtod karon.” (Another treasure here in Dalaguete is the Santo Entierro, which only comes out during Holy Week on Good Friday. After that, it is just brought back to the house where it is kept. The image would only be taken out at 12 noon and would only be returned after the veneration of the Santo Entierro in the evening. On that Good Friday, the members of the youth organization would cordon the Santo Entierro when the image is in a procession up until the end of the day and would be returned to the house of the owner or the caretaker of that image. The same members of the youth organization are the ones acting during the reenactment of the Passion on Good Friday, in the morning from the church until we climb the mountain. There is a live Station of the Cross. Those others who are treasured here in Dalaguete, those Holy Week images, are in the homes of the families. The families are the ones who care for these images like the Pasensyado, that image of the Lord who is crowned. To this day, the Pasyensyado is still complete.)

These testimonies reveal the impact of images of Christ like the Santo Entierro and the Jesus de Pasensya.",,Santo Entierro,Haidee Emmie K. Palapar,"My first time to join the Pasos of Bantayan, Cebu on a Holy Week, was my first time, too, of course, to see the Santo Entierro of Bantayan. The morning before the early evening Pasos I had the chance to touch the life-like figure of the dead Christ. I also slipped into one corner of the figure a small piece of paper containing my intentions as well as blue bill. During the Pasos, the last to be processed, as if afloat in the midst of a thousand believers was the carriage bearing the lit glass coffin of the Santo Entierro, surrounded by white paper and real flowers. It was a sight to behold.

Fifty five inches from head to toe, the figure is made of wood. Its head is slightly inclined to the right; its eyes half-closed and lips parted, showing some teeth. Its beard is carved in barba de caracol manner, wherein the beard is carved in graduating spiral as in hell, which is atypical of images of Christ of the 18th-19th centuries. Its arms are laid on the side, but may be extended horizontally on both sides because of the hinges in placed, in what is called the de gonze style. The hinges, which are made of iron, are undetectable because they are covered with leather painted in the same color as the flesh. The wounds, particularly, in stark relief from the pale skin. The body is carved in de tallado form, with features of the body well-pronounced.

The camarera s (caretakers) of the image descends from the couple Victorina Rubio and Basilio Desphy. Currently, five generations have cared for and ensured that the image is never absent from the yearly Pasos in Bantayan.

The carriage is decorated with an all-white flower ensemble, whether of read or made of paper. The lower tier of the carriage is encircled with white paper flowers, while the upper tier and the four posts and canopy are adorned with fresh white flowers.

The veneration of the Santo Entierro is popular all over the Philippines, particularly on Good Friday. Its procession is one of the most solemn and participated. The people of Bantayan island, a fishing town, ascribes certain practices and beliefs to the Santo Entierro which are related to their livelihood. Owners of fishing fleets roll amounts of money covered in white cloth and placed under the pillow of the image. They retrieved the cash, leaving a portion for the Señor, after the procession. The money is said to be “lucky” when used for business ventures. The flowers too, sought after the procession, are used by fishermen as bait or tied to the nets to ensure an abundant catch.

Reference:

Nacorda, Clodoveo. Bantayan Passion, Devotion, Tradition . Cebu City: University of San Carlos

Press, 2016.",TOD Galleries,,discussion=first-discussion-heading; special=explicit-special-heading,No distinct discussion content was detected.
Heavenly Host on Earth,heavenly-host-on-earth,user,"Tue, 31 Oct 2023 04:18:28 +0000",publish,https://thekabilincenter.org/heavenly-host-on-earth/,"An entire gallery in this exhibition reveals that we believe in angels; it shows how aware we are that angels are among us. From the four parishes that proclaim Saints Raphael, Gabriel and Michael as their patrons are patronal/ processional images of the Archangels.","An entire gallery in this exhibition reveals that we believe in angels; it shows how aware we are that angels are among us. From the four parishes that proclaim Saints Raphael, Gabriel and Michael as their patrons are patronal/ processional images of the Archangels.","Other images include functional figures of angels that are used in the carroza and those that hold receptacles of holy water at the narthex, or sculptures and paintings of the cherubim lining the nave of our churches looking as if the heavenly host has come down to Earth again.

The presence of these representations inside our churches allude to that part of our liturgy where the whole Church joins with the angels to adore God as we sing the Gloria.

As servants and messengers of God, who have a role in salvation history, they are venerated. Mildred Kitayan Mamites, Assistant Secretary of the Parish Pastoral Council of Argao and representative of the parish for the Municipal Arts, Culture and Heritage of Argao, explains how St. Michael the Archangel is venerated in their home town: "" kanang San Miguel nga 1800s sa simbahan na siya. Originally mao na siyay processional image ""... (That St Michael image from the 1800s, it belongs to the church. Originally, it is the processional image.)

She explains what townspeople do during the fiesta: ""i nig ka fiesta...mo-anhi na sila tanan diri, managkot, mohalok sa San Miguel, mosimba sa pontifical mass unya mokuyog sa procession...1-2 days nga sacrifice para lang sa ilang pagpasalamat...Since pagkabata nako ang San Miguel nga processional image mao na ang i-procession sa lungsod unya daghan gyod kaayong tawo... "" (During the fiesta, townspeople come here, they light candles and venerate the image of St Michael and attend the pontifical mass and then join the procession. Since I was a child, that has always been the processional image and there are a lot of people.)

Six parishes within the Archdiocese of Cebu are named after the three archangels mentioned by name in the Bible. Four of these parishes have Saint Michael as their titular patron, and there is one each for Saints Gabriel and Raphael. These parishes all have grand and interesting images representing their patrons, but it is the Saint Michael the Archangel Church of Samboan, Cebu that holds in its collection three quaint statues of the three.

I am not certain if these three statues are originally a set. Most likely the ones for Saints Gabriel and Raphael are from the same source as they look more similar to each other compared to the image of Saint Michael. This is understandable; Saint Michael, after all, is the patron of the parish. The latter may have been acquired separately and before the other two for the purpose of having devotional images for the celebration of the Feast of the Archangels. For this reason, I would like to consider the three statues as a set. Additionally, all three statues are made of wood, and all feature glass eyes.

The largest of the three statues, at a height of 98 centimeters, is that of Saint Michael the Archangel. Among the three sculptures, this is the only one with detachable ivory hands. Its size and the materials used on it, including the colorful fabrics for its clothes (complementary colors red and green and royal blue for the cape) make this statue stand out compared to the other two. It shows the most popular depiction of Saint Michael, that is, Saint Michael defeating Lucifer in the battle in heaven.

The two other statues actually look more similar and are closer in size to each other. With a height of 75 centimeters, the statue of Angel Gabriel would be the middle-sized image. Like the statue of Saint Michael, the statue of Saint Gabriel shows a conventional representation of the archangel: Saint Gabriel holding a staff and a banner. Archangel Gabriel, whose name means “Man of God” or “God has shown might”, is the messenger angel who appeared in the Old and New Testaments on many different occasions. He is the patron of messengers, communication workers, and postal workers.

At the overall height of 70 centimeters, the statue of Saint Raphael the Archangel is the smallest of the set. This statue, too, shows a typical and traditional representation of Saint Raphael that portrays a direct reference to the Book of Tobit, one of my favorite stories from the Old Testament: a winged figure holding a staff in the left hand and a fish in his right hand. The staff is a reference to Saint Raphael being the p atron of travelers. A more interesting story is behind the fish that the archangel is holding.

Archangel Raphael’s name means “the healing of God''. In the story of Tobit and his son Tobias, Archangel Raphael first presented himself as a willing companion for Tobias, who was tasked by his father to collect money from a relative. Raphael introduced himself as Azarias, which means “Assistance of God”, for indeed he was sent to assist Tobit who remained a faithful servant of God. As a traveling companion, Archangel Raphael safely guided Tobias to accomplish his tasks and meet the people he needed to meet.

When the two travelers came to the River Tigris, they caught a large fish. Raphael instructed Tobias to cut open the fish and take its heart, liver and gall, then they cooked and ate it. Raphael told Tobias that the fish parts that were kept are effective remedies. Later in the story, we find out that the heart and liver were used to drive away the demon tormenting Sara, whom Tobias wed, and the gall was used to cure his father’s blindness. (Book of Tobit, Chapters 4-12) From all these, Saint Raphael is the patron saint of travelers and happy meetings, of the blind, of those with bodily ills, and all those in the medical field (nurses, physicians and medical workers).

Because of the teachings of the church and our faith experience, we have come to believe in the existence and the power of angels, and not just as images that are portrayed by sculptors. The images of the archangels, though, and the stories behind why they are represented as such remind us that angels are God’s messengers, and they have interacted with people, guiding the faithful to Go",,,,TOD Galleries,,discussion=second-block-fallback; special=none,No separator or final feature boundary was detected.
Home Devotions,home-devotions,user,"Tue, 31 Oct 2023 05:22:25 +0000",publish,https://thekabilincenter.org/home-devotions/,"The family, the domestic church, is where all the baptized first learn how to pray. Asocena Pase, a volunteer heritage worker of the LGU and at the Santa Ana Shrine of Barili recalls her childhood: "" We pray in the morning, the family together, in the evening and at 8 o'clock. At 6 o'clock, when the Angelus bells rang, we would all run and drop…","The family, the domestic church, is where all the baptized first learn how to pray. Asocena Pase, a volunteer heritage worker of the LGU and at the Santa Ana Shrine of Barili recalls her childhood: "" We pray in the morning, the family together, in the evening and at 8 o'clock. At 6 o'clock, when the Angelus bells rang, we would all run and drop everything we had, even if you were playing, we would drop everything and run to pray the Angelus with our family. And then after that we can no longer go to the street. We would wait until we had supper and at 8 o'clock, when the bell rang 8 times, then we prayed again and that's the end of the day. We woke up with God; we ended the day with God .""","While the church is the proper place for the liturgical prayer, a ""little comer"" at home is where one may spend time for personal prayer. Many times, however, in Philippine homes, this space is not only a small corner in the house, but a revered family oratory with several icons that may be handed down from generation to generation, prayer and novena booklets of the family's favorite devotions, and adorned with fresh or silk flowers or, for a few fortunate families, several pieces of lagang, flower decorations made of nautilus shell.

This gallery devotes space for icons and statuary and all the sacred objects that are confined to the level of the personal devotion, including rosaries, scapulars, and novenas booklets. There are few icons that were used in a community practice called the block rosary. These special icons are placed in adorned boxes that make it easy for the community to bring the icon from house to house, from one family altar to another.

I learned to pray the rosary when I was in Grade 1. This was my mother’s requirement. By the age of seven, my siblings and I must have already memorized all the prayers, the three mysteries (we did not have the Luminous Mysteries then), the responses to the Litany of the Blessed Virgin Mary and the Memorare. Like many families, praying the rosary was a time to be together.

Around that time, too, we transferred to our permanent family home in the part of the city that used to be a separate town. Then, our family was introduced to a community chapel devoted to the Sagrada Familia, and through this community, we were introduced to another way of praying the rosary, this time, with a larger community.

Three artifacts from the collection of the Santo Tomas de Villanueva Parish Church of Danao City, Cebu made me reminisce about the time that my family participated in the block rosary. From what I remember, the practice involved the transporting of an image of Our Lady of Fatima encased in a wooden box from one house to another. That image was in the care of an elderly lady who was in charge of arranging the schedule of the image’s visits, which would usually be within 24 hours. The family who previously hosted the image would bring the same to the household and pray the rosary with that family. After which, the gathering would be capped with the partaking of conversations about community concerns and refreshments, which my young self truly relished.

Indeed, the three images of Our Lady of the Miraculous Medal enclosed in wooden cases and decorated with silk flowers from the Danao parish remind me of the one that was passed from household to household within my community. These wooden cases are pragmatic as they keep the images inside safe while they are brought around the neighborhood. At the same time, the cinquefoil or ogee arches used and the movable coverings that look like doors make the case look like it is a frontispiece of a place of worship. Thus, the case also becomes a portable altar and the focus of attention during the communal praying of the rosary. Apart from the church-related activities, the practice is a means for the faithful to nurture each other ‘s faith and devotion.

The rosary is a Marian devotion that is well-loved by families. This Marian prayer is given a larger significance in the practice of the Block Rosary where families pray in community with other families. It is a means of community building as well; it is an opportunity for fellowship and to get to know one’s neighbors.

Nowadays, our community does not anymore have the Block Rosary. Maybe because the elderly lady, whose name I did not even know, had also long passed, and no one accepted her role. The events of the last three years have also made it to impossible to revive the practice. Even so, with less and less restrictions, there is still a possibility to animate the community again and revive the Block Rosary.",,,,TOD Galleries,,discussion=second-block-fallback; special=none,No separator or final feature boundary was detected.
